Designator,Mid X,Mid Y,Layer,Rotation
C1,-109.225000mm,-56.635000mm,Top,0.000000
C2,-115.075000mm,-61.085000mm,Top,0.000000
C3,-115.075000mm,-57.085000mm,Top,0.000000
C4,59.215000mm,-25.355000mm,Top,0.000000
C5,-76.845000mm,38.895000mm,Top,0.000000
C6,-72.635000mm,38.895000mm,Top,0.000000
C7,-68.425000mm,38.895000mm,Top,0.000000
C8,-109.825000mm,38.645000mm,Top,0.000000
C9,-115.895000mm,34.445000mm,Top,0.000000
C10,-111.685000mm,34.445000mm,Top,0.000000
C11,-71.110000mm,43.775000mm,Top,0.000000
C12,-115.075000mm,38.025000mm,Top,0.000000
C13,-88.660000mm,43.775000mm,Top,0.000000
C14,-82.810000mm,43.775000mm,Top,0.000000
C15,-76.960000mm,43.775000mm,Top,0.000000
C16,-91.885000mm,4.645000mm,Top,0.000000
C17,-87.675000mm,4.645000mm,Top,0.000000
C18,-107.565000mm,4.395000mm,Top,0.000000
C19,-79.255000mm,4.645000mm,Top,0.000000
C20,-106.165000mm,24.025000mm,Top,0.000000
C21,-100.315000mm,24.025000mm,Top,0.000000
C22,-94.465000mm,24.025000mm,Top,0.000000
C23,-88.615000mm,24.025000mm,Top,0.000000
C24,-82.765000mm,24.025000mm,Top,0.000000
C25,-76.915000mm,24.025000mm,Top,0.000000
C26,-87.635000mm,-0.005000mm,Top,0.000000
C27,-83.425000mm,-0.005000mm,Top,0.000000
C28,-58.045000mm,44.195000mm,Top,0.000000
C29,-63.075000mm,60.775000mm,Top,0.000000
C30,-57.225000mm,60.775000mm,Top,0.000000
C31,-63.075000mm,47.775000mm,Top,0.000000
C32,-57.225000mm,47.775000mm,Top,0.000000
C33,-63.075000mm,43.325000mm,Top,0.000000
C34,-42.045000mm,44.195000mm,Top,0.000000
C35,-47.075000mm,60.775000mm,Top,0.000000
C36,-41.225000mm,60.775000mm,Top,0.000000
C37,-47.075000mm,47.775000mm,Top,0.000000
C38,-41.225000mm,47.775000mm,Top,0.000000
C39,-47.075000mm,43.325000mm,Top,0.000000
C40,-26.045000mm,44.195000mm,Top,0.000000
C41,-31.075000mm,60.775000mm,Top,0.000000
C42,-25.225000mm,60.775000mm,Top,0.000000
C43,-31.075000mm,47.775000mm,Top,0.000000
C44,-25.225000mm,47.775000mm,Top,0.000000
C45,-31.075000mm,43.325000mm,Top,0.000000
C46,-10.045000mm,44.195000mm,Top,0.000000
C47,-15.075000mm,60.775000mm,Top,0.000000
C48,-9.225000mm,60.775000mm,Top,0.000000
C49,-15.075000mm,47.775000mm,Top,0.000000
C50,-9.225000mm,47.775000mm,Top,0.000000
C51,-15.075000mm,43.325000mm,Top,0.000000
C52,-52.195000mm,6.645000mm,Top,0.000000
