Designator,Mid X,Mid Y,Layer,Rotation
R61,-119.475000mm,-31.355000mm,Top,0.000000
R62,-123.685000mm,-34.065000mm,Top,0.000000
R63,-119.475000mm,-34.065000mm,Top,0.000000
R64,-87.475000mm,-31.355000mm,Top,0.000000
R65,-91.685000mm,-34.065000mm,Top,0.000000
R66,-87.475000mm,-34.065000mm,Top,0.000000
R67,-142.575000mm,15.645000mm,Top,0.000000
R68,-138.365000mm,15.645000mm,Top,0.000000
R69,-134.155000mm,15.645000mm,Top,0.000000
R70,-151.895000mm,10.995000mm,Top,0.000000
R71,-131.895000mm,27.495000mm,Top,0.000000
R72,-127.685000mm,27.495000mm,Top,0.000000
R73,-123.475000mm,27.495000mm,Top,0.000000
R74,-133.895000mm,2.445000mm,Top,0.000000
R75,-129.685000mm,2.445000mm,Top,0.000000
R76,-91.435000mm,35.620000mm,Top,0.000000
R77,-87.225000mm,35.620000mm,Top,0.000000
R78,-101.095000mm,35.220000mm,Top,0.000000
U5,-150.000000mm,3.912500mm,Top,270.000000
U19,-97.550000mm,70.625000mm,Top,270.000000
U20,-49.880000mm,-58.000000mm,Top,0.000000
U21,-112.000000mm,-60.082500mm,Top,0.000000
U22,-147.880000mm,-20.000000mm,Top,0.000000
U23,-115.880000mm,-20.000000mm,Top,0.000000
U24,-83.880000mm,-20.000000mm,Top,0.000000
U25,-150.000000mm,18.922500mm,Top,0.000000
U26,-140.000000mm,27.942500mm,Top,0.000000
U28,-84.225000mm,42.500000mm,Top,270.000000
U29,-91.175000mm,40.920000mm,Top,270.000000
U30,-99.725000mm,40.900000mm,Top,270.000000
U31,-44.812500mm,41.000000mm,Top,270.000000
