Designator,Mid X,Mid Y,Layer,Rotation
R26,4.595000mm,-27.900000mm,Top,0.000000
R27,8.805000mm,-27.900000mm,Top,0.000000
R28,-16.895000mm,-31.110000mm,Top,0.000000
R29,-69.895000mm,78.645000mm,Top,0.000000
R30,-9.035000mm,12.820000mm,Top,0.000000
R33,-3.825000mm,-27.900000mm,Top,0.000000
R35,-55.895000mm,-77.940000mm,Top,0.000000
R36,-51.685000mm,-77.940000mm,Top,0.000000
R37,-47.475000mm,-77.940000mm,Top,0.000000
R38,-43.265000mm,-77.940000mm,Top,0.000000
R39,-55.895000mm,-80.650000mm,Top,0.000000
R40,-51.685000mm,-80.650000mm,Top,0.000000
R41,-43.395000mm,-70.680000mm,Top,0.000000
R42,-47.475000mm,-80.650000mm,Top,0.000000
R46,-51.645000mm,-47.225000mm,Top,0.000000
R47,-47.435000mm,-47.225000mm,Top,0.000000
R48,-43.225000mm,-47.225000mm,Top,0.000000
R49,-39.015000mm,-47.225000mm,Top,0.000000
R50,-21.895000mm,-72.180000mm,Top,0.000000
R51,-17.685000mm,-72.180000mm,Top,0.000000
R52,-69.585000mm,-60.405000mm,Top,0.000000
R53,-65.375000mm,-60.405000mm,Top,0.000000
R54,-83.895000mm,-63.955000mm,Top,0.000000
R55,-79.685000mm,-63.955000mm,Top,0.000000
R56,-106.585000mm,-50.455000mm,Top,0.000000
R57,-113.185000mm,-55.260000mm,Top,0.000000
R58,-108.975000mm,-55.260000mm,Top,0.000000
R59,-30.035000mm,49.645000mm,Top,0.000000
R60,-25.825000mm,49.645000mm,Top,0.000000
R61,-21.615000mm,49.645000mm,Top,0.000000
R62,-61.895000mm,39.775000mm,Top,0.000000
R63,-57.685000mm,39.775000mm,Top,0.000000
R64,-53.475000mm,39.775000mm,Top,0.000000
R65,-111.245000mm,46.895000mm,Top,0.000000
R66,-102.825000mm,46.895000mm,Top,0.000000
R67,-87.685000mm,49.695000mm,Top,0.000000
R68,115.565000mm,20.485000mm,Top,0.000000
R69,107.105000mm,17.695000mm,Top,0.000000
R70,111.315000mm,17.695000mm,Top,0.000000
R71,115.525000mm,17.695000mm,Top,0.000000
U1,-58.300000mm,-19.325000mm,Top,0.000000
U2,-46.700000mm,-14.500000mm,Top,270.000000
U4,-8.775000mm,-12.000000mm,Top,270.000000
U5,-15.725000mm,-11.980000mm,Top,270.000000
U6,-15.725000mm,16.500000mm,Top,270.000000
U7,-38.150000mm,-14.500000mm,Top,270.000000
U8,-59.725000mm,48.500000mm,Top,270.000000
U9,-19.725000mm,-68.500000mm,Top,270.000000
U10,-29.600000mm,-14.500000mm,Top,270.000000
U13,-15.445000mm,-23.070000mm,Top,270.000000
U14,-7.615000mm,-21.980000mm,Top,270.000000
U20,-113.050000mm,-34.775000mm,Top,270.000000
U21,-113.050000mm,-44.325000mm,Top,270.000000
U30A,-105.000000mm,-2.500000mm,Top,0.000000
U30B,-71.000000mm,-2.500000mm,Top,0.000000
U31,-53.725000mm,-54.500000mm,Top,270.000000
U32,-45.175000mm,-54.500000mm,Top,270.000000
U33,-53.725000mm,-59.305000mm,Top,270.000000
U34,-114.095000mm,-51.530000mm,Top,0.000000
U40,-110.225000mm,57.125000mm,Top,0.000000
U41,-87.325000mm,58.525000mm,Top,0.000000
U42,94.362500mm,33.137500mm,Top,180.000000
Y1,-63.275000mm,-29.025000mm,Top,0.000000
