board,sample,prehash,tx,ty,pads,fine_pads,unescaped_pads,escape_vias,locked_len,env_overlap,nets_crossing,rule_area,opens,hard,router_vias,router_len
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,6,3,6,0,0,1,14.67,0,17,2,0,0,1,39.1
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,6,4,1,0,0,1,2.3,0,24,2,0,0,0,14.55
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,6,5,8,0,0,2,4.0,0,22,2,1,0,2,253.7
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,6,6,1,0,0,0,0,0,3,2,0,0,0,3.25
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,7,2,0,0,0,3,0,0,14,2,0,0,0,144.84
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,7,3,6,0,0,1,6.6,0,20,2,0,0,2,36.13
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,7,4,8,0,0,6,6.84,0,28,2,0,0,2,71.64
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,7,5,4,0,0,0,0,0,25,2,0,0,1,76.74
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,7,6,1,0,0,0,0,0,6,2,0,0,0,3.25
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,8,1,1,0,0,0,0,0,12,2,0,0,0,0
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,8,2,0,0,0,0,0,0,14,2,0,0,0,8.63
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,8,3,1,0,0,0,0,0,20,2,0,0,2,268.74
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,8,4,12,6,0,5,10.17,0,28,2,0,0,3,67.74
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,8,5,3,0,0,0,0,0,26,2,0,0,3,26.5
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,8,6,2,0,0,0,0,0,7,2,0,0,0,14.42
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,9,1,1,0,0,0,0,0,12,3,0,0,0,73.41
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,9,2,0,0,0,0,0,0,14,3,0,0,0,249.55
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,9,3,1,0,0,0,0,0,20,2,0,0,0,22.91
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,9,4,1,0,0,3,0,0,28,2,0,0,0,41.92
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,9,5,4,0,0,0,0,0,26,2,0,0,3,17.56
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,9,6,2,0,0,0,0,0,7,2,0,0,0,10.36
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,10,3,0,0,0,0,0,0,20,2,0,0,0,68.96
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,10,4,3,0,0,1,2.9,0,26,2,0,0,1,68.81
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,10,5,6,0,0,3,2.25,0,24,2,0,0,1,34.03
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,10,6,2,0,0,0,0,0,6,2,0,0,0,16.61
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,11,1,1,0,0,0,0,0,12,4,0,0,0,0
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,11,3,1,0,0,0,0,0,20,2,0,0,0,0
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,11,4,2,0,0,0,2.9,0,23,2,0,0,1,38.58
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,11,5,5,0,0,2,6.53,0,21,2,0,0,3,61.74
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,11,6,0,0,0,0,0,0,5,2,0,0,1,35.86
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,12,1,1,0,0,0,0,0,12,3,0,0,0,0
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,12,3,1,0,0,0,0,0,21,2,0,0,1,74.95
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,12,4,2,0,0,3,4.7,0,23,2,0,0,0,7.37
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,12,5,2,0,0,3,3.1,0,20,2,0,0,0,9.61
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,12,6,2,0,0,0,0,0,6,2,0,0,0,2.66
pcb-e1-dock-preroute.kicad_pcb,pcb-e1-dock-1,d941ad82dfc8,13,1,1,0,0,0,0,0,12,4,0,0,0,0
