board,sample,prehash,tx,ty,pads,fine_pads,unescaped_pads,escape_vias,locked_len,env_overlap,nets_crossing,rule_area,opens,hard,router_vias,router_len
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,4,6,2,0,0,0,0,0,10,2,0,0,1,20.5
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,4,7,2,0,0,0,1.98,0,4,2,0,0,0,37.63
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,5,0,5,0,0,0,0,0,20,2,0,0,3,142.05
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,5,1,13,13,0,7,12.8,0,29,2,0,0,2,68.96
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,5,2,18,3,0,5,9.3,0,39,2,0,0,6,190.08
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,5,3,17,0,0,5,7.55,0,28,2,0,0,5,165.25
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,5,4,7,4,0,4,8.25,0,28,2,0,0,6,77.01
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,5,5,14,0,0,3,2.25,0,22,2,0,0,4,167.67
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,5,6,4,0,0,0,1.75,0,9,2,0,0,0,4.05
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,5,7,1,0,0,1,1.75,0,4,2,0,0,0,0
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,6,0,4,0,0,0,0,0,18,2,0,0,1,43.49
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,6,1,18,18,0,9,7.36,0,28,2,0,0,3,68.87
pcb-d-aprs-preroute.kicad_pcb,pcb-d-aprs-3,395dea251007,6,2,25,4,0,4,11.65,0,44,2,0,0,11,220.0
