board,sample,prehash,tx,ty,pads,fine_pads,unescaped_pads,escape_vias,locked_len,env_overlap,nets_crossing,rule_area,opens,hard,router_vias,router_len
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,0,2,4,0,0,0,0,0,10,1,1,0,2,27.21
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,0,3,3,0,0,0,10.47,0,5,2,0,0,0,17.11
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,0,4,1,0,0,0,0,0,0,2,0,0,0,0
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,1,0,2,0,0,2,0,0,4,1,0,0,0,13.81
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,1,1,32,32,0,18,42.69,0,26,1,0,0,5,120.47
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,1,2,12,0,0,8,3.38,0,23,1,0,0,6,153.33
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,1,3,2,0,0,1,3.88,0,7,1,0,0,1,27.41
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,1,4,0,0,0,1,0,0,0,1,0,0,0,38.81
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,2,0,2,0,0,1,10.66,0,4,1,0,0,0,12.35
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,2,1,12,10,0,8,15.64,0,29,1,0,0,7,158.35
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,2,2,12,0,0,6,3.38,0,29,1,0,0,9,128.23
pcb-p-pack-preroute.kicad_pcb,pcb-p-pack-4,1147dd2a75c9,2,3,1,0,0,1,11.79,0,9,1,0,0,3,40.69
