Designator,Mid X,Mid Y,Layer,Rotation
C1,172.860000mm,126.845000mm,Bottom,0.000000
C2,177.510000mm,126.845000mm,Bottom,0.000000
C3,170.855000mm,122.445000mm,Bottom,0.000000
C4,175.065000mm,122.445000mm,Bottom,0.000000
C5,179.275000mm,122.445000mm,Bottom,0.000000
C6,183.485000mm,122.445000mm,Bottom,0.000000
C7,187.695000mm,122.445000mm,Bottom,0.000000
C8,191.905000mm,122.445000mm,Bottom,0.000000
C9,137.105000mm,118.695000mm,Bottom,0.000000
C10,141.315000mm,118.695000mm,Bottom,0.000000
C11,145.525000mm,118.695000mm,Bottom,0.000000
C12,149.735000mm,118.695000mm,Bottom,0.000000
C13,153.945000mm,118.695000mm,Bottom,0.000000
D17,158.460000mm,126.675000mm,Bottom,0.000000
FB1,158.155000mm,118.695000mm,Bottom,0.000000
FB2,162.365000mm,118.695000mm,Bottom,0.000000
FB3,166.575000mm,118.695000mm,Bottom,0.000000
FB4,170.785000mm,118.695000mm,Bottom,0.000000
J_EPD,100.000000mm,100.000000mm,Bottom,90.000000
J_MAINSW,-150.000000mm,-110.000000mm,Bottom,0.000000
J_PANEL,203.000000mm,75.000000mm,Bottom,0.000000
J_PIJ2,-125.000000mm,-110.000000mm,Bottom,0.000000
Q1,137.555000mm,126.125000mm,Bottom,0.000000
Q2,142.665000mm,126.125000mm,Bottom,0.000000
Q3,147.775000mm,126.125000mm,Bottom,0.000000
Q4,152.885000mm,126.125000mm,Bottom,0.000000
R1,174.995000mm,118.695000mm,Bottom,0.000000
R2,179.205000mm,118.695000mm,Bottom,0.000000
R3,183.415000mm,118.695000mm,Bottom,0.000000
R4,187.625000mm,118.695000mm,Bottom,0.000000
R5,191.835000mm,118.695000mm,Bottom,0.000000
R6,137.105000mm,115.985000mm,Bottom,0.000000
R7,141.315000mm,115.985000mm,Bottom,0.000000
R8,145.525000mm,115.985000mm,Bottom,0.000000
R9,149.735000mm,115.985000mm,Bottom,0.000000
R10,153.945000mm,115.985000mm,Bottom,0.000000
R11,158.155000mm,115.985000mm,Bottom,0.000000
R12,162.365000mm,115.985000mm,Bottom,0.000000
R13,166.575000mm,115.985000mm,Bottom,0.000000
R14,170.785000mm,115.985000mm,Bottom,0.000000
R15,174.995000mm,115.985000mm,Bottom,0.000000
R16,179.205000mm,115.985000mm,Bottom,0.000000
R17,183.415000mm,115.985000mm,Bottom,0.000000
R18,187.625000mm,115.985000mm,Bottom,0.000000
R19,191.835000mm,115.985000mm,Bottom,0.000000
R20,137.105000mm,113.275000mm,Bottom,0.000000
R21,141.315000mm,113.275000mm,Bottom,0.000000
R22,145.525000mm,113.275000mm,Bottom,0.000000
R23,149.735000mm,113.275000mm,Bottom,0.000000
R24,153.945000mm,113.275000mm,Bottom,0.000000
R25,158.155000mm,113.275000mm,Bottom,0.000000
R26,162.365000mm,113.275000mm,Bottom,0.000000
R27,166.575000mm,113.275000mm,Bottom,0.000000
R28,170.785000mm,113.275000mm,Bottom,0.000000
R29,174.995000mm,113.275000mm,Bottom,0.000000
R30,179.205000mm,113.275000mm,Bottom,0.000000
R31,183.415000mm,113.275000mm,Bottom,0.000000
R32,-99.000000mm,78.000000mm,Bottom,0.000000
R33,-59.000000mm,78.000000mm,Bottom,0.000000
R34,187.625000mm,113.275000mm,Bottom,0.000000
R35,191.835000mm,113.275000mm,Bottom,0.000000
R36,137.105000mm,110.565000mm,Bottom,0.000000
R37,141.315000mm,110.565000mm,Bottom,0.000000
R38,145.525000mm,110.565000mm,Bottom,0.000000
R39,149.735000mm,110.565000mm,Bottom,0.000000
U1,141.250000mm,133.225000mm,Bottom,0.000000
U2,153.375000mm,133.225000mm,Bottom,0.000000
U5,163.325000mm,135.675000mm,Bottom,0.000000
U6,171.475000mm,135.675000mm,Bottom,0.000000
U7,179.625000mm,135.675000mm,Bottom,0.000000
U8,187.775000mm,135.675000mm,Bottom,0.000000
BZ1,-180.000000mm,-100.000000mm,Top,0.000000
D1,-121.270000mm,45.000000mm,Top,0.000000
D2,-121.270000mm,36.000000mm,Top,0.000000
D3,-121.270000mm,27.000000mm,Top,0.000000
D4,-121.270000mm,18.000000mm,Top,0.000000
D5,-121.270000mm,9.000000mm,Top,0.000000
D6,-121.270000mm,0.000000mm,Top,0.000000
D7,-121.270000mm,-9.000000mm,Top,0.000000
D8,-121.270000mm,-18.000000mm,Top,0.000000
D9,-121.270000mm,-27.000000mm,Top,0.000000
D10,-121.270000mm,-36.000000mm,Top,0.000000
D11,-121.270000mm,-45.000000mm,Top,0.000000
D12,-83.270000mm,123.000000mm,Top,0.000000
D13,-77.270000mm,123.000000mm,Top,0.000000
D14,-71.270000mm,123.000000mm,Top,0.000000
D15,-65.270000mm,123.000000mm,Top,0.000000
D16,-59.270000mm,123.000000mm,Top,0.000000
SW_EMCON,170.000000mm,0.000000mm,Top,0.000000
SW_LIGHT,120.000000mm,100.000000mm,Top,0.000000
SW_MAIN,-150.000000mm,100.000000mm,Top,45.000000
SW_PI,-110.000000mm,100.000000mm,Top,45.000000
SW_SOS,170.000000mm,42.000000mm,Top,0.000000
SW_TEST,-70.000000mm,100.000000mm,Top,45.000000
SW_ZERO,170.000000mm,-42.000000mm,Top,0.000000
